PropertyName,link,rating,review,date
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",1.0,Avoid at all cost. Probably the worst apartment I've ever had in my life. Fire alarm will went off when turn on heater and people tell me it's normal. Fire alarm shouldn't went off for any cause other then real fire. Roaches everywhere. The rent is expansive for its low quality. If you look for higher living quality don't rent this place. I am sure there are better apartments out there. Save your money and time don't go to 12fifty5.,4 weeks ago
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",5.0,"I have enjoyed my studio apartment at 12Fifty5 for a year now, and I previously shared a 2-bedroom here back when it was called Quadrangles! First of all, the office staff has been amazing! They are always warm and helpful with any questions or issues I am having, and I love each and every one of them. As a resident, you get reminders of the free food and events they have going on, and the location here has been just perfect for me as an ASU student.",2 months ago
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",5.0,The maintenance team and office staff are always quick and polite to help me if I ever need anything!! Great place to live!,in the last week
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",4.0,Any maintenance request we put gets resolved at the earliest. Maintenance team at 12Fifty5 is the best. I do not have anything to say great about the leasing office though. My experience with leasing office hasn't been so great all this time.,a month ago
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",3.0,"The price isn't bad for what you get. A decent living space with decent amenities. Don't be deceived though, there's plenty of faults here. Roaches everywhere when you move in; walls, drawers, shower, bedrooms, despite the staff's assurance that they ""personally haven't seen a single one"". The build quality of the rooms themselves (and everything they contain) is about as good as a five year old construction foreman's. The staff can be incredibly rude and act as if you're interrupting and won't do much for you unless you are persistent. If I had to describe 1255 in one word it would be ""Burnt"", but nevertheless it CAN become a home if you make it one. Just get your Raid cans ready.",3 months ago
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",1.0,"If I could give this apartment 0 stars I would. We wanted to move out after the first week and would break the lease if we didn't have to pay to do so. The managers and employees are extremely rude and unprofessional. Once your lease is signed, they start to ignore all of your emails and calls then pretend like you never tried to contact them at all if you confront them about it. After asking to move in a few days early and being denied, the apartment failed to even have our keys ready at 10am (open) on move in day. We were told by the employees that ""most people don't move in until 4."" In a rude and off put way which is a completely bogus excuse! Management is money hungry and doesn't care about residents. If you have a problem, even a serious one may take weeks to months to get fixed (management won't help). Costs keep rising despite nothing being improved and there is no explanation as to why the costs keep increasing. Don't be fooled if you see an ""owners comment"" on google reviews, this is just a farce to try to look good to unsuspecting customers, as if they were actually attempting to make up for the situation. In reality, the management doesn't care or even acknowledge that your problem exists. I have personally witness the manager scream at tenants who knock on her door to try to discuss problems with her. It is obvious that the manager does not care by her aggressive and rude attitude towards people! It is a low level employee who is typing these comments. The actual manager does not reach out and will do nothing to fix the situation. Our service animals have been discriminated by management as well and were forced to sit out in 115 degree heat on move-in day since we didn't have a cashiers check due to the managements failure to mention that a personal check wouldn't work or to even answer our phone calls when we took the initiative to try to find out. The manager made us fill out 4 forms to approve our service animals and my girlfriends Doctor informed us that the questions being asked on the form were illegal. They make disabled people jump through tons of obstacles and hassle them for a pet fee! Finally, management will kick you out of your apartment for a whole day 9am-5pm (plus three hours extra) to bug spray even if you don't request this service and you do not get to pick a convenient day either. The bug spray company they hire is a scam and doesn't work. If you look up reviews there are many bad 1 star reviews exposing this company for what it is. Also, don't be surprised if they steal from you. This apartment complex is infested by roaches and management is too cheap to even hire a legitimate exterminator to fix their problem. Instead they pay for the cheapest poorest service to at least look like they are trying. I would not recommend this complex to anybody! Save yourself the time and money and find a complex that actually cares about their tenants!",4 months ago
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",5.0,12Fifty5 is an incredible place to live! It's close to night life & has the BEST amenities!,in the last week
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",1.0,Trust me It is the worst apt to move in... the office is run by a bunch of kids who have no idea what's going on..,4 months ago
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",4.0,Great office and maintenance staff always there to help you out and address  any issues. This place is reasonably priced compared to apartments; apartments are nice and spacious. No major issues.,2 months ago
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",1.0,"Rates are less than other places, but get everything documented when you talk with them about  rates, leasing period, extensions literally everything.  Other than that, the community is nice.",in the last week
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",1.0,"I've lived here for 4 years now... The ownership and management changed in the last year or two (I don't remember exactly when the change happened), and things did get a bit better. HOWEVER, we are now getting charged for parking. In the 4 years I've lived here, there has never been a charge for parking. Nothing has been improved, nothing has been upgraded, and yet this month we are now being charged for something that was free last month. Absolutely ridiculous... It would be one thing if they upgraded the covered parking, or did something that warranted a charge for parking, but nothing has changed at all... They just want to make more profit off of their current residents. After 4 years, this is the last straw for me. This will be my final lease, and I can't wait to move somewhere else where the residents are appreciated.",7 months ago
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",5.0,"I really love the staff! Super friendly environment. I wish there were more ways to get to know other residents and get together. I wish there was more of a community feel because I feel like most residents keep to themselves the most.  Maintence really cares about the residents and accomplishes tasks within reasonable times and measures with what they have available to them. When my AC went out during the summer, they weren't able to fix it the same day;however, they offered another place to stay due to the amount of heat. Always love saying hello to the staff & maintence. The complex always looks beautiful. One concern I would have would be the noise coming from our upstairs neighbors is consistently a problem and can be very distracting as a student. Although, me and my roomate usually make jokes about it. As well as, there have been multiple occasions where people are on the phone outside of our windows at night when we are trying to sleep. As for the ""bug issue"" that many residents talk about I think it is normal. I notice when the dishes pile or the trash has been full and in the house is dirtier than usual there are more bugs. However, when it's relatively clean there are not many issues with bugs. Especially living by one of the pools, you would expect more roaches. However, I do not have any major issues if you just keep your house clean. Other than these minor issues, I love living here!",2 months ago
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",2.0,"Read the reviews before moving in. Cockroach complaints are all accurate. Decent place to live regardless though, but 2 stars because of cockroaches.",4 weeks ago
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",1.0,"I'm only giving this place a star because I can't give negatives. If you care about your time or money at all do not move here. We have been ignored for weeks prior to moving in (but after signing the lease), and after finally getting a response the woman on the phone was rude and acted as though she was put out to answer the phone. She said we could move in at 10 AM and we arrived at 10 to find that our apartment doesn't have keys for it, hasn't been cleaned, and the staff are rude as well as refusing to help. Now they are saying we shouldn't be here until 4 PM to move and that they are not going to help us until then. This is just the topping of this horrible cake. They've discriminated against me, as I have a need for a service animal team. On top of this they have been completely uncooperative since we have signed the lease. Do not live here at all.",4 months ago
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",1.0,Hi everyone I'm writing this on behalf of many Indians. I have stayed in this apartment for 2 years. Though there are many disadvantages I preferred living here for the only reason that there are lot of Indians. But now I would say that it is the time to regret and also time to change. Let me explain-,6 months ago
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",1.0,"COCKROACHES EVERYWHERE DO NOT LIVE HERE we've had our apartment exterminated twice now and the problem is only getting worse literally disgusting. I'm giving one star only because it wont let me post this without one. AND they constantly have maintenance blowing leaves early in the AM, also have us pay for parking unnecessarily and will not do anything for when someone has parked in your space LITERALLY DO NOT LEAVE HERE I AM WARNING YOU",6 months ago
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",1.0,"Worse apartments and even worse management. First of all, almost all the apartments at 1255 has slight bed bugs and they replicate over time. It is hard to find if the apartment has bed bugs at the beginning and by the time we get to know, management says that you guys have brought those bed bugs. They suggest some one who is in worthy of treating bed bugs and they intend to fine you even after treatment.",7 months ago
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",1.0,"Not only this place is full of roaches,  the management is dishonest and will loot you off your money by dumping extravagant charges of $100-$150 for unnecessary expenses like painting, carpet cleaning ,etc. Avoid if possible, there are better apartments nearby.",2 months ago
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",1.0,I wonder if I there is any way to give a negative Star !! I am serious about it. This is one of the worst and worser apartments in Tempe I ever stayed. This is full of roaches and bugs. No proper treatment. Management is a hell and rude. They don't have any concern about their tenants. Recently they brought new ridiculous rules charging for parking. Yet there is no security in the community. Lot of bike thefts in the community in past one year. If you a raise a request it gets closed sometimes without resolving the issue. No respect to its tenants. The front office is run by kids and naive who do not know who to speak to their tenants. Absolutely Bad !!,6 months ago
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",1.0,Nastiest appartments ive ever known infested with roaches even though they have an extetminater go every now and then its so bad with roaches they will never die and very bad with bed bugs i dont even know why this building is even open so take my advise stay away,6 months ago
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",1.0,"I really don't know why people are so angry with 12fifty5 apartments. It really shouldn't take long for people to realize that this place is run by dim-witted 10-year olds. Trust me, they don't do it deliberately! It is not their fault that they take 4 days to fix an emergency, that they are rude, confused and incapable of doing anything more complicated than 2+2. So the next time you interact with them, treat them the same way you would treat your little niece- with lots and lots of patience.",8 months ago
12Fifty5 at University,"https://www.google.com/search?q=12Fifty5%20on%20University&ludocid=1050163702495051605#lrd=0x0:0xe92ee52cb39ff55,1",1.0,"I've had roaches since day one here and a year later the issue has yet to improve. Exterminators came to my apartment at least 6 times, but there was never any sign of improvement. I will admit that I am not the cleanest person at all times, but even when the apartment was spotless the problem persisted. The only time the roach problem got any better was when the exterminators treated my neighbors apartment, who had apparently been the source of the issue. However that was a short term solution as the bugs are now back and bigger than ever. When I first moved in the infestation was limited to the kitchen and bathroom, but now it has spread to the living room and even to my bedroom. My whole building needs to be treated, but management is too incompetent to realize that. If you want proof of how bad the bug problem is, look at the binder in the office titled ""Burns"", this is the name of the exterminator they use. The folder is at least twice as big as any other folder they have in the office. The fact that Burn's is scheduled to be here regularly 2-3 times per week further proves how much of an issue roaches are to the complex. I will admit that it's not the entire complex that is infested, just certain buildidngs, but there are still a number of issues with the complex other than the roaches. The AC in my apartment has broken at least a dozen times and everytime they ""fixed"" it breaks again, which is always great during the hot summer. The water has been out in the complex four times that I know of and management does a poor job of alerting residents to these outages. They seem to focus only on temporary solutions to problems rather than trying to actually fix the problems, so get used to reoccurring issues throughout your lease. Parking was a big plus for the complex when I moved here because it was free, but recently they started charging $20/month for covered parking, which leaves almost no room for a car unless you actually pay for parking. It also seems like nobody in the complex knows how to drive as I have almost backed into at least 5 times. Management is very inexperienced and they seem to lack the drive to improve, making them stagnant in reacting to any issues within the complex. Being so close to ASU gives them an advantage in terms of location, but management isn't business savvy enough to take advantage of it. For example rather that screwing over their residents by effectively forcing them to pay for a parking spot when there is plenty of room to park, they could just charge the students who park here a semester rate over the school year. Customer service is the last thing in their mind and I can't imagine their resident retention is very good, I knew three months into my lease that I would not renew. The actual layout of the apartments aren't bad and they are relatively spacious and they were fairly priced (at least in terms of cost/square foot), but it is not worth it once you consider all of the issues that have occurred. If you luck out and get a well kept apartment with no roaches, then it could potentially be a decent place to live. They don't advertise as being luxury apartments, so I wasn't expecting anything special but I was shocked with how poorly the apartments were kept and the overall unprofessionalism of the staff working here. I wouldn't recommend living here to anyone, it isn't worth the money at all.",8 months ago
