Suburb,Keyword,CompanyName,Description,Address,Phone,Email,Website
4227,communications,Data Comms Security,,"48/ 2 Cassowary Dr, Burleigh Waters QLD 4220",0755203802,,
4227,communications,Data & Voice Qld,,"Unit 2/ 92 Township Dr, Burleigh Heads QLD 4220",0756314302,,
4227,communications,AB Comms,,Burleigh Heads QLD 4220,0755761788,gary@abc-network.net,http://www.abcomms.net.au
4227,communications,Multicom Communications Pty Ltd,,"Unit 9 14-16 Ramly Dr, West Burleigh QLD 4219",0755200099,,
4227,communications,OntheNet,For everything Internet trust a local,"165 Varsity Parade, Varsity Lakes QLD 4227",0755539222,support@onthenet.com.au,http://www.onthenet.com.au
4227,communications,OntheNet,,"Level 1, OnTheNet Building, 165 Varsity Pde,, Varsity Lakes QLD 4227",1300650559,sales@onthenet.com.au,http://www.onthenet.com.au
4227,communications,NET-TEK Services Australia,,Varsity Lakes QLD 4227,0755620776,,http://www.net-tekservices.com
4227,communications,Global Card Services,,,0755845355,,
4227,communications,Telstra Store Robina,Simplify Your Business,"Shop 2015 Robina Town Centre, Robina Parkway, Robina QLD 4230",0755788155,enquiries@telstrarobina.com.au,http://www.telstra.com.au/store-locator
4227,communications,Telstra Store Burleigh Heads,Simplify Your Business,"Shop 95 Stockland Shopping Centre, 149 West Burleigh Rd, Burleigh Heads QLD 4220",0755353399,connect@telstrastoreburleighheads.com.au,http://www.telstra.com.au/store-locator
4227,communications,Virgin Mobile,Innovative Wireless Broadband.,"Robina Town Centre, Level 2 - Kiosk 2-5 Robina Town Centre Dr, Robina QLD 4230",0755622277,,http://www.virginmobile.com.au
4227,communications,Just Been Paid Australia,,Robina QLD 4226,0466362575,dubli@hotmail.com.au,http://justbeenpaidaus.webs.com
4227,communications,tHealth,,"20 99 West Burleigh Rd, Burleigh Heads QLD 4220",1300799563,info@thealth.com.au,
4227,communications,Ballard International pty ltd,,Robina QLD 4226,0405402307,,
4227,communications,S. T. Cabling Pty Ltd,,Burleigh Waters QLD 4220,0439620682,,
4227,communications,Strongcastle Pty Ltd,,Robina QLD 4226,0755789981,,
4227,communications,CommsLogic,,"Suite 10/ 238 Robina Town Centre Dr, Robina QLD 4226",1800256442,,
4227,communications,Web Design Magic,,"Suite 5/ 5 Taree St, Burleigh QLD 4220",1300308210,,
4227,communications,Boat House Cabling,,"93 Tabilban St, Burleigh Heads QLD 4220",0755353740,,
4227,communications,Harrisontech Pty Ltd,,Robina Town Centre QLD 4230,0756301670,,
4227,communications,Domain World.com.au,,,1300665991,,
4227,communications,Fortana Networks Australia Pty Ltd,,"Ste 36/ 58 Riverwalk Ave, Robina QLD 4226",0755933500,,
4227,communications,Airweb Connect,,Robina QLD 4226,0755622851,,
4227,communications,Innovative Product & Distribution Pty Ltd,,"35/ 27 Eugenia Cct, Robina QLD 4226",0755620745,,
4227,communications,Modern Communication Systems,,"1/ 67 Casua Dr, Varsity Lakes QLD 4227",0755222222,,
4227,communications,Coastal Voice & Data,"Telephone Systems, PABX, VOIP, Mobiles, Data, Business Communications.",ROBINA QLD 4226,1800115795,info@cvd.net.au,http://www.cvd.net.au
4227,communications,Commex Communication Experts,,Mudgeeraba QLD 4213,0755691000,,
4227,communications,Gray's Communications,,Mudgeeraba QLD 4213,0409006814,,
4227,communications,QLD Telecommunication Solutions,,Bonogin QLD 4213,0419653008,,
4227,communications,Cryptonet Pty Ltd,,Broadbeach Waters QLD 4218,0414723420,,
4227,communications,Telecoast Communications Pty Ltd,Sales - Service - Rentals,"Unit 4/ 22 Mountain View Ave, Miami QLD 4220",0755762377,,
4227,communications,Telstra Store Elanora,Simplify Your Business,"Shop 18 The Pines Shopping Centre, Cnr Guineas Creek Rd and Kp McGrath Dr, Elanora QLD 4221",0755595800,sales@tlselanora.com.au,http://www.telstra.com.au/store-locator
4227,communications,Telstra Store Mermaid Waters,Simplify Your Business,"Shop C 16, Q-Super Shopping Centre, Cnr Bermuda and Markeri Sts, Mermaid Waters QLD 4218",1800729543,,http://www.telstra.com.au/store-locator
4227,communications,Telstra Store Pacific Fair (Refresh FRE),Simplify Your Business,"Shop 13-14 Pacific Fair Shopping Centre, Cnr Sunshine and Hooker Boulevard, Broadbeach QLD 4218",1800725714,,http://www.telstra.com.au/store-locator
