PropertyName,link,rating,review,date,reviewer
The Boulevard Apartments,https://www.yelp.com/biz/the-boulevard-apartments-houston?search_key=58224,5.0,The Boulevard is a great quite place in an area surrounded by business. The staff is quick to respond to requests for service. The staff is very professional and ready to help. I have great respect for the office and maintenance staff. Look forward to being here for a long time.,2017-01-02,Armando G.
The Boulevard Apartments,https://www.yelp.com/biz/the-boulevard-apartments-houston?search_key=58224,3.0,"These apartments are old and outdated and therefore probably a little overpriced. But they were also clean, cozy, and in a great location. 

The staff member we spoke with was very friendly and knowledgeable. This place isn't going to try to wow you with a huge ""community room"" and a 24-hour Starbucks machine, but that might be a good thing. 

This seems like a nice place to live if you're not bothered by outdated cabinetry, appliances, etc. That makes me sound snobby, but just being honest.",2016-07-05,Melanie H.
The Boulevard Apartments,https://www.yelp.com/biz/the-boulevard-apartments-houston?search_key=58224,5.0,"We just moved out of the Boulevard Apartments. We lived there six months before finding a home to lease near the school we wanted our daughter to attend, otherwise we would still be there! The management team (Jennifer and Anthony) are wonderful. Friendly and very responsive. Luis, who is in charge of maintenance, is the best. These were truly the best maintained apartments I have ever lived in, I believe in great part because of the excellent job he does (along with management's dedication to running a great complex). Luis is always cheerful, takes such pride in his work, and makes sure things are done correctly any time you put in a work order. 
We experienced NO crime while we lived there, I felt very safe. They make sure the gates are always working. Other places I've lived, gates could be broken for a week at a time and no one cared, not here!
I really can't say enough good things about this place. There is a reason there is a wait list. Get on it.",2015-11-02,Raina W.
The Boulevard Apartments,https://www.yelp.com/biz/the-boulevard-apartments-houston?search_key=58224,5.0,"This is a very safe, nice-looking, well-maintained, no-frills apartment complex in a great location in Rice Village.  I mean no-frills because compared to other apartments, the front office is smaller, there is a tiny fitness center and an average swimming pool/bbq area.  However, personally, these things don't matter much to me since the top things I look for is location, appearance, apartment build/quality, safety, and value, and this place delivers it 200%.  

Another huge positive is the management who is very attentive to the tenant's needs, and every request has been handled professionally and immediately.  For example, our older washing machine started leaking so we called the front office and either the very next day or 2 days later, it was removed and replaced with a brand new one.  Also I can't say enough about Luis, the service-man.  He is very professional, courteous, and he always completes everything on time and with a smile.  

The best thing about these apartments is that it is relatively inexpensive in cost compared to other apartments of the same high quality around Rice Village.  I would definitely recommend this place to anyone looking for an apartment in the Rice Village/Medical Center/Midtown area.",2014-09-10,Earl I.
The Boulevard Apartments,https://www.yelp.com/biz/the-boulevard-apartments-houston?search_key=58224,4.0,"Lovely place for an art student like me to live. Great neighbors, has a fitness center, right by my favorite museums and restaurants. Couldn't ask for anything more, I definitely recommend these apartments!",2014-02-23,Cameron D.
The Boulevard Apartments,https://www.yelp.com/biz/the-boulevard-apartments-houston?search_key=58224,5.0,"We have lived at the Boulevard for over two years and are very sad to leave. However,  we are having a baby and we feel it is time to be grown ups and actually invest in a house. We lived in the area at another apartment complex for a few years before moving here, but they kept raising our rent in large increments and so we decided it was time to move. After driving around we stumbled upon this complex and are we glad we did. We ended up being on a waiting list to move in because there was a high demand for the 2/1 because the price compared to all other places in the area is not even close (at least at that time). We were very fortunate that we were able to get in when we did! We rented the apartment without even seeing what the 2/1 looked liked inside. We were able to see a 1/1 to get the idea of what we could expect. Truthfully when we actually got to see ""our"" apartment I was a little disappointed. I felt like it felt older than I remember the 1/1 looking. The stove seemed old, the kitchen cabinets seemed dated (which they kind of are) and the washing machine had a weird stain around the seal. HOWEVER, after talking to the manager Jennifer and getting maintenance out there, they changed out the washer quickly because he was not able to get the ""stain"" out. Now, the stove and kitchen cabinets are indeed kinda dated, but work well. The kitchen is a nice size and I always seemed to have plenty of cabinet space. The bathroom in the 2/1 is HUGE and I LOVE it! 
The pool is never crowded and although the fitness center is incredibly small it still has enough equipment to keep you active. The maintenance man (I am 98% sure his name is Luis- pregnancy brain is in full effect right now so there is a 2%+ change I am wrong on that) is SUPER nice and has been there for years. He is very efficient and always has a smile on his face. When I am walking around outside or getting the mail and I see him he always says hello. I sure wish I could take him to fix anything in my house that goes wrong :-). 

Like I said above, we are very sad to leave this complex, we have always felt safe here which was very important to me and I am sure to many people! 
Because it is on a neighborhood street, it feels like you are living in a neighborhood and not just a large apartment complex, which is a nice feeling. You are close to everything, one mile from Rice Village, easy access to 59 and upper Kirby. We have had very few issues with parking, sometimes on the weekend or certain times during the summer it might get a little congested, but I have never had to park very far from my apartment at all. 

I just cannot express how great it has been living here, we will miss it very much! I do hope whoever moves in after we leave will share the same feelings and treat this complex like the gem it is!",2014-10-20,Chelsea W.
The Boulevard Apartments,https://www.yelp.com/biz/the-boulevard-apartments-houston?search_key=58224,5.0,"I've only lived here for two months but I LOVE IT!!! I used to live at AMLI Memorial Heights which was awesome but I wanted to live closer to work and pay a reasonable price for a 1 bedroom. That's what I have at the Boulevard! GREAT LOCATION, GREAT NEIGHBORS, VERY SAFE!!! My AC broke the other day and they fixed it right away. Maintenance has been very responsive. Jennifer and Anthony have been very great to me as well. I hope to live here for at least 3 years. I will update this posting at the end of my first year.",2014-12-04,Son H.
The Boulevard Apartments,https://www.yelp.com/biz/the-boulevard-apartments-houston?search_key=58224,5.0,"I lived here during my year off-campus while at Rice University, and chose to move back here after graduating because it was such a great place.  It is safe, quiet, nice, well-maintained, and affordable - can't ask for more!  A number of my friends at school lived here too and all had a positive experience.

Best things about this apartment complex:
+Close to Rice University and med center
-Walking distance to Rice Village and lots of other restaurants
+Low noise from neighbors - the only time I have heard any neighbors above or below me is when I had an upstairs neighbor that was jump-roping, and I don't fault the apartment for that!  This is very important to me and I am so glad it's quiet.
+Best value for the money - there are a couple places that were cheaper, but none nearly as nice as this place.  You are spending just a little more for a LOT nicer.
+Easy parking - We didn't pay for reserved spots and have never had a problem getting a spot.  If you come back very late at night, you might have to park farther away from your door, but it's such a small place that the ""far"" spots aren't really big deal.
+Reliable and quick maintenance
+Ability to pay rent and request maintenance online
+Pet-friendly - that was a ""must"" for me with 2 cats.
+Spacious, well-laid out floor plans

The only ""cons"" I can think of are so minor they are more neutral than negative, but I guess it would be that the fitness center is not much to write home about (just a couple machines and some weights, fine for basic needs but nothing special) and I wish they offered recycling services/pick-up.

I am moving out of state soon, and wish I could find a place exactly like the Boulevard when I move.",2013-08-07,Rebecca G.
The Boulevard Apartments,https://www.yelp.com/biz/the-boulevard-apartments-houston?search_key=58224,4.0,"I found this place at the recommendation of a close friend who had lived there for about 3 years. I have a had a few negative experiences but in my mind, that goes with renting anywhere. Specific to this property, I would say my experience has been overall positive.  There are a lot of long term residents there that continue to renew...which I like, you see a lot of familiar faces. The price is reasonable for the area and I feel extremely safe which was my #1 concern. I would definitely recommend this place to others - it has been a great experience for me and the pro's definitely out-weigh the cons.",2013-07-11,Elissa M.
The Arlie,https://www.yelp.com/biz/the-arlie-apartments-arlington?search_key=25094,5.0,"Great place... good units, friendly people and a cooperative front desk staff. Apart from this you enjoy the amenities of a swimming pool, a fitness centre, a courtyard, study area with computers on hand and Starbucks coffee.",2016-12-02,Samreet L.
The Arlie,https://www.yelp.com/biz/the-arlie-apartments-arlington?search_key=25094,5.0,"Brand New community with all kinds of amenities including a bark park, computer center and starbucks coffee!",2016-11-30,Piper V.
